Date,VOO,VEA,VWO,VNQ
2011-01-01,96.1147232055664,26.87017059326172,35.15951919555664,37.665958404541016
2011-02-01,99.44647216796875,27.852426528930664,35.09901809692383,39.4382438659668
2011-03-01,99.00550842285156,27.146657943725586,37.019962310791016,38.52245330810547
2011-04-01,102.3689956665039,28.83679962158203,38.267845153808594,41.032859802246094
2011-05-01,101.17137145996094,28.05802345275879,37.14096450805664,41.59693908691406
2011-06-01,98.989501953125,27.715951919555664,36.770389556884766,39.8847541809082
2011-07-01,97.42639923095703,27.053613662719727,36.54351043701172,40.85369110107422
2011-08-01,92.05229949951172,24.731822967529297,33.22343444824219,38.558013916015625
2011-09-01,85.326416015625,21.929655075073242,27.09755516052246,34.046974182128906
2011-10-01,95.02314758300781,24.069496154785156,31.408363342285156,39.290611267089844
2011-11-01,94.7413101196289,23.567285537719727,30.87139892578125,37.79709243774414
2011-12-01,95.2386703491211,22.29357147216797,28.89750862121582,39.19597625732422
2012-01-01,100.09424591064453,24.35869789123535,32.776981353759766,42.15851974487305
2012-02-01,104.38018035888672,25.54839324951172,34.55791473388672,41.673397064208984
2012-03-01,107.34864044189453,25.623706817626953,33.659698486328125,43.49092102050781
2012-04-01,107.14065551757812,25.02189064025879,32.955074310302734,45.09403991699219
2012-05-01,100.70822143554688,22.227458953857422,29.439655303955078,43.062171936035156
2012-06-01,104.32646179199219,23.77907943725586,30.918607711791992,45.06650924682617
2012-07-01,106.13624572753906,23.839340209960938,30.980552673339844,46.3476676940918
2012-08-01,108.79680633544922,24.62268829345703,31.057987213134766,46.340721130371094
2012-09-01,111.00269317626953,24.765796661376953,32.30464553833008,45.11848449707031
2012-10-01,109.38955688476562,25.539318084716797,32.52693176269531,45.06431198120117
2012-11-01,110.01580810546875,26.231029510498047,32.94244384765625,44.94532012939453
2012-12-01,110.33738708496094,27.07645034790039,34.91020965576172,46.05828094482422
2013-01-01,116.87560272216797,28.39213752746582,35.294273376464844,48.36139678955078
2013-02-01,118.4269027709961,28.066146850585938,34.462608337402344,48.94943618774414
2013-03-01,122.12615203857422,28.275718688964844,33.97946548461914,49.96966552734375
2013-04-01,125.27424621582031,29.881948471069336,34.70827102661133,53.74664306640625
2013-05-01,128.18600463867188,28.99320411682129,32.947471618652344,50.533836364746094
2013-06-01,125.61680603027344,27.753646850585938,30.766305923461914,49.06307601928711
2013-07-01,132.94979858398438,29.647371292114258,31.400232315063477,49.97918701171875
2013-08-01,128.85267639160156,29.17237091064453,30.32301902770996,46.49060821533203
2013-09-01,132.5538330078125,31.333587646484375,32.260414123535156,47.67267608642578
2013-10-01,139.17201232910156,32.472084045410156,33.939453125,50.28422927856445
2013-11-01,143.34164428710938,32.68671417236328,33.623313903808594,47.64381408691406
2013-12-01,146.3261260986328,33.13186264038086,33.347713470458984,46.96006774902344
2014-01-01,141.9294891357422,31.573076248168945,30.699705123901367,49.73122787475586
2014-02-01,148.40933227539062,33.45100784301758,31.6939640045166,52.25031280517578
2014-03-01,149.03555297851562,32.979522705078125,33.071250915527344,52.16904830932617
2014-04-01,150.79933166503906,33.85778045654297,33.454734802246094,54.23496627807617
2014-05-01,154.25941467285156,34.4554557800293,34.49253845214844,55.536190032958984
2014-06-01,156.7757568359375,34.39891052246094,35.24433135986328,55.64773178100586
2014-07-01,155.3139190673828,33.986759185791016,36.073814392089844,56.21109390258789
2014-08-01,161.48402404785156,34.07666015625,37.46000671386719,57.922183990478516
2014-09-01,158.49986267089844,32.490936279296875,34.41533660888672,53.92211151123047
2014-10-01,163.08181762695312,32.54649353027344,35.55109786987305,59.83160400390625
2014-11-01,167.5792999267578,32.54649353027344,35.15922546386719,61.028377532958984
2014-12-01,166.14183044433594,31.12500762939453,33.366676330566406,61.354103088378906
2015-01-01,161.37103271484375,31.542823791503906,33.44667434692383,66.45152282714844
2015-02-01,170.374755859375,33.485843658447266,35.00426483154297,64.00996398925781
2015-03-01,166.8473663330078,32.93186569213867,34.22547149658203,64.73169708251953
2015-04-01,169.38272094726562,34.356788635253906,36.826637268066406,61.31076431274414
2015-05-01,171.5010986328125,34.34017562866211,35.51798629760742,61.12539291381836
2015-06-01,167.3795166015625,32.928375244140625,34.29323196411133,57.6883659362793
2015-07-01,171.82191467285156,33.828311920166016,32.443756103515625,61.63426208496094
2015-08-01,161.27841186523438,31.381372451782227,29.243398666381836,57.75676345825195
2015-09-01,156.4697265625,29.968700408935547,28.015750885009766,58.934837341308594
2015-10-01,170.59620666503906,32.12789535522461,29.902692794799805,62.95167541503906
2015-11-01,171.32135009765625,31.882970809936523,29.216073989868164,62.55768585205078
2015-12-01,167.34646606445312,31.0130615234375,28.074542999267578,62.82561111450195
2016-01-01,160.07620239257812,29.477725982666016,26.590503692626953,61.513877868652344
2016-02-01,159.74295043945312,28.568496704101562,26.504257202148438,61.29017639160156
2016-03-01,169.8113250732422,30.488916397094727,29.8248348236084,66.95496368408203
2016-04-01,171.32028198242188,31.331222534179688,30.17817497253418,66.11283111572266
2016-05-01,174.3262176513672,31.237346649169922,29.201894760131836,67.59941101074219
2016-06-01,174.01840209960938,30.179033279418945,30.43736457824707,71.63905334472656
2016-07-01,181.33029174804688,31.865821838378906,32.21385955810547,75.36441040039062
2016-08-01,181.5486602783203,31.99561309814453,32.4660758972168,72.52754211425781
2016-09-01,180.79345703125,32.36764907836914,32.72697830200195,70.70966339111328
2016-10-01,178.34751892089844,31.7372989654541,33.227752685546875,67.11073303222656
2016-11-01,184.9922637939453,31.259187698364258,31.881044387817383,65.9861831665039
2016-12-01,187.65200805664062,31.763376235961914,31.493741989135742,67.74276733398438
2017-01-01,192.19143676757812,33.19900131225586,33.467647552490234,69.03074645996094
2017-02-01,199.64105224609375,33.549560546875,34.219425201416016,71.45270538330078
2017-03-01,198.97889709472656,34.44351577758789,35.13041687011719,69.21510314941406
2017-04-01,201.98329162597656,35.341064453125,35.74228286743164,69.88977813720703
2017-05-01,204.81988525390625,36.546390533447266,36.0966911315918,69.38327026367188
2017-06-01,205.1802978515625,36.35282897949219,36.17643737792969,70.26121520996094
2017-07-01,210.36062622070312,37.838504791259766,38.34734344482422,71.81014251708984
2017-08-01,210.97325134277344,37.847412109375,39.49749755859375,71.62265014648438
2017-09-01,214.18470764160156,38.63960647583008,38.84663009643555,70.81301879882812
2017-10-01,220.2915802001953,39.487213134765625,40.258094787597656,70.7746810913086
2017-11-01,227.0272674560547,39.82685470581055,40.1227912902832,72.66027069091797
2017-12-01,228.837158203125,40.09499740600586,41.412715911865234,71.4462661743164
2018-01-01,242.781982421875,42.40794372558594,45.17134475708008,69.46671295166016
2018-02-01,233.73587036132812,40.24197769165039,42.75144577026367,64.13320922851562
2018-03-01,226.93023681640625,39.935123443603516,42.57925033569336,65.98682403564453
2018-04-01,228.75921630859375,40.59235382080078,41.48150634765625,67.17584228515625
2018-05-01,234.28700256347656,40.01259994506836,40.50986099243164,69.6478271484375
2018-06-01,234.96499633789062,38.86212921142578,38.32136154174805,71.90789794921875
2018-07-01,244.47488403320312,40.25000762939453,40.105106353759766,73.01115417480469
2018-08-01,252.34657287597656,39.55287170410156,38.42340850830078,74.8912353515625
2018-09-01,252.65872192382812,39.69047164916992,37.47287368774414,71.88845825195312
2018-10-01,236.44635009765625,36.409423828125,35.003257751464844,70.76354217529297
2018-11-01,240.90367126464844,36.593544006347656,36.69516372680664,74.0704345703125
2018-12-01,218.40806579589844,34.15397262573242,35.22513961791992,67.37535858154297
2019-01-01,236.9811248779297,37.09298324584961,38.89346694946289,76.2629623413086
2019-02-01,244.6827392578125,37.95820236206055,38.74452209472656,76.79325866699219
2019-03-01,247.9984130859375,38.02332305908203,39.563720703125,79.46305847167969
2019-04-01,259.4551696777344,39.27043533325195,40.49018859863281,79.90231323242188
2019-05-01,242.9851531982422,37.22422790527344,37.906497955322266,80.01280975341797
2019-06-01,258.6287536621094,38.9714469909668,39.66938018798828,80.48243713378906
2019-07-01,263.7686767578125,38.6022834777832,39.219627380371094,82.64170837402344
2019-08-01,259.44140625,37.87482833862305,37.942352294921875,85.73763275146484
2019-09-01,263.30499267578125,38.81013488769531,37.81087112426758,86.69522857666016
2019-10-01,270.332763671875,40.32414627075195,39.80009460449219,88.37388610839844
2019-11-01,280.1347961425781,40.866233825683594,39.99980926513672,87.22117614746094
2019-12-01,287.07391357421875,41.902870178222656,42.29176712036133,86.95877838134766
2020-01-01,288.3578796386719,41.05583190917969,40.45821762084961,88.97174072265625
2020-02-01,265.0017395019531,37.9146842956543,39.02325439453125,82.72012329101562
2020-03-01,230.9476318359375,32.0262336730957,32.31071090698242,66.16283416748047
2020-04-01,261.6996154785156,34.42737579345703,34.89897918701172,72.65502166748047
2020-05-01,274.0938415527344,36.347503662109375,36.04716491699219,73.91510772705078
2020-06-01,277.69940185546875,37.428192138671875,38.21809768676758,74.96516418457031
2020-07-01,295.5608215332031,38.60809326171875,41.67659378051758,78.46467590332031
2020-08-01,316.16436767578125,40.60589599609375,42.820011138916016,78.81173706054688
2020-09-01,302.99658203125,39.66518783569336,41.89946365356445,76.12202453613281
2020-10-01,296.54388427734375,38.46144104003906,42.86567687988281,74.40943145751953
2020-11-01,329.0052490234375,43.960105895996094,46.534847259521484,81.60846710205078
2020-12-01,339.93450927734375,46.026981353759766,49.029884338378906,82.51199340820312
2021-01-01,337.8387145996094,46.10066604614258,50.87210464477539,83.86930084228516
2021-02-01,347.1839294433594,47.22195053100586,51.6694450378418,86.74195098876953
2021-03-01,361.7926940917969,48.30390167236328,51.236324310302734,90.68072509765625
2021-04-01,382.2733459472656,50.01153564453125,52.21902084350586,98.37989807128906
2021-05-01,384.82470703125,51.80012893676758,53.10609436035156,99.17424774169922
2021-06-01,392.189697265625,50.9107780456543,53.52992248535156,101.07075500488281
2021-07-01,403.1499938964844,51.58187484741211,50.6401252746582,106.29000091552734
2021-08-01,415.04998779296875,52.259273529052734,51.74982833862305,108.58000183105469
2021-09-01,408.7799987792969,52.22938919067383,50.48159408569336,106.62000274658203
